text,labels
"1+2 = ?","basic"
"3*4 = ?","basic"
"5-2 = ?","basic"
"12/4 = ?","basic"
"3 + 3 * 2 ", "basic"
" (1 + 2) * 3 ", "basic"
"5 + 3 - 2 * 4 ", "basic"
"10 / 2 + 6 ", "basic"
"15 + 7 = ?","basic"
"8 * 9 = ?","basic"
"20 - 13 = ?","basic"
"24 / 6 = ?","basic"
"4 + 5 * 3","basic"
"(8 + 4) * 2","basic"
"7 * 3 + 10","basic"
"25 / 5 - 2","basic"
"12 + 8 = ?","basic"
"6 * 7 = ?","basic"
"18 - 9 = ?","basic"
"30 / 5 = ?","basic"
"2 + 4 * 5","basic"
"(10 + 5) * 3","basic"
"9 + 6 - 3 * 2","basic"
"16 / 4 + 7","basic"
"21 + 14 = ?","basic"
"5 * 8 = ?","basic"
"27 - 16 = ?","basic"
"40 / 8 = ?","basic"
"6 + 7 * 2","basic"
"(12 + 3) * 4","basic"
"8 + 15 - 4 * 3","basic"
"20 / 4 + 8","basic"
"13 + 19 = ?","basic"
"7 * 6 = ?","basic"
"31 - 22 = ?","basic"
"36 / 9 = ?","basic"
"5 + 8 * 4","basic"
"(15 + 7) * 2","basic"
"11 + 8 - 5 * 2","basic"
"24 / 3 + 5","basic"
"16 + 23 = ?","basic"
"9 * 5 = ?","basic"
"28 - 19 = ?","basic"
"45 / 9 = ?","basic"
"7 + 6 * 3","basic"
"(18 + 2) * 5","basic"
"13 + 10 - 6 * 2","basic"
"32 / 8 + 3","basic"
"22 + 15 = ?","basic"
"4 * 11 = ?","basic"
"35 - 24 = ?","basic"
"48 / 6 = ?","basic"
"8 + 9 * 2","basic"
"(20 + 5) * 3","basic"
"17 + 12 - 5 * 3","basic"
"40 / 5 + 4","basic"
"25 + 18 = ?","basic"
"7 * 8 = ?","basic"
"42 - 27 = ?","basic"
"54 / 9 = ?","basic"
"9 + 11 * 2","basic"
"(25 + 5) * 4","basic"
"19 + 14 - 7 * 2","basic"
"36 / 6 + 5","basic"

"1 quả táo + 2 quả táo = ?","basic_word"
"3 quả cam * 4 = ?","basic_word"
"5 quả chuối - 2 quả chuối = ?","basic_word"
"12 quả nho / 4 = ?","basic_word"
"3 quả dưa + 3 quả dưa * 2 ","basic_word"
"5 quả lê và 2 quả lê tổng cộng là bao nhiêu?","basic_word"
