keyword,normalized
có,have
sở hữu,have
được,have
của,have
gồm,have
gồm có,have
bao gồm,have
cho,+
cho thêm,+
thêm,+
tặng,+
cộng,+
hơn,>
nhiều hơn,>
tăng,+
mất,-
lấy đi,-
bớt,-
giảm,-
ít hơn,-
nhân,*
lần,*
gấp,*
chia,/
chia đều,/
chia cho,/
bằng,=
giống,=
như,=
cao hơn,>
lớn hơn,>
thấp hơn,<
nhỏ hơn,<
ít hơn,<
bé hơn,<
lấy , -
lấy ra, -
thêm vào, +
cộng thêm, +
trừ đi, -
phân chia, /
chia đều cho, /
nhặt được, +
nhặt thêm, +
mất đi, -
bị mất, -
bị trừ, -
bị lấy đi, -
ăn đi, -
ăn mất, -
ăn hết, -
ăn bớt, -
uống đi, -
uống mất, -
uống hết, -
uống bớt, -
tiêu thụ, -
tiêu hao, -
tiêu dùng, -
sử dụng, -
dùng, -
xài, -
xài hết, -
xài bớt, -
